id	korean	english	context
425	핑크색	pink	
426	하나	one	native
427	하다	do	
428	하얀색	white	native
429	학교	school	
430	학생	student	
431	학원	cram school	
432	한	one	native, before a noun or counter
433	한 개	one object	
434	한 달	one month	
435	한 마리	one animal	
436	한 명	one person	
437	한 살	one year old	
438	한 시 일분	01:01	
439	한 잔	one cup	
440	한 장	one sheet	
441	한 주일	one week	
442	한국	Korea	
443	한글	Korean alphabet	
444	할머니	grandmother	
445	할아버지	grandfather	
446	함께	together	more literary
447	햄버거	hamburger	
448	헤어	hair	
449	형	older brother	male speaker
450	호랑이	tiger	
451	호주	Australia	
452	호텔	hotel	
453	화요일	Tuesday	
454	화이트	white	loan word
455	화장실	toilet	
456	회사	company	
457	회사원	office worker	
458	나라	country	
459	어느	which	
460	어떤	what kind of	
461	언제	when	
462	농구를 하다	to play basketball	
463	축구를 하다	to play football	
464	탁구를 치다	to play table tennis	
465	테니스를 치다	to play tennis	
